loan_id,age,annual_income,employment_years,employment_type,credit_score_orig,credit_score_current,score_change,loan_type,loan_amount,outstanding_balance,credit_limit,drawn_balance,undrawn_balance,utilization_rate,remaining_months,interest_rate,debt_to_income,ltv_ratio,collateral_value,num_delinquencies,days_past_due,default_flag,recovery_rate,lgd_true,ead_true,ccf_true,pd_true,stage
LN001676,71,35330.58,9.3,CLT,477,462,-15,Imobiliario,402654.49,221408.14,402654.49,221408.14,0.0,0.5499,130,0.1274,2.0,0.4369,506773.14,0,0,0,0.7097,0.2903,221408.14,0.6035,0.063625,1
LN001677,29,56494.85,11.4,CLT,824,812,-12,Imobiliario,424462.93,30160.29,424462.93,30160.29,0.0,0.0711,308,0.0923,0.2242,0.047,641738.9,0,0,0,0.7146,0.2854,30160.29,0.5926,0.001536,1
LN001678,42,81495.01,7.9,CNPJ,610,648,38,Imobiliario,310115.16,274213.59,310115.16,274213.59,0.0,0.8842,109,0.1016,1.4132,0.7796,351715.56,1,45,1,0.7551,0.2449,274213.59,0.7822,0.128192,3
LN001679,68,46463.71,12.3,CLT,590,461,-129,Empresarial,29195.27,22983.26,17302.01,7222.27,10079.74,0.4174,34,0.2807,0.2078,2.0,2863.6,0,0,0,0.1597,0.8403,14839.69,0.7557,0.026746,2
LN001680,47,40353.1,6.8,CNPJ,632,673,41,Pessoal,11180.28,8156.13,11180.28,8156.13,0.0,0.7295,37,0.3041,0.0849,2.0,128.92,0,0,0,0.0975,0.9025,8156.13,0.7018,0.015534,1
LN001681,69,48642.49,11.9,Aposentado,976,971,-5,Imobiliario,141358.1,125068.41,141358.1,125068.41,0.0,0.8848,298,0.0943,1.0799,0.7941,157505.89,0,0,0,0.7627,0.2373,125068.41,0.6634,0.005205,1
LN001682,22,53915.13,2.9,Aposentado,707,639,-68,Pessoal,21241.36,11640.97,21241.36,11640.97,0.0,0.548,22,0.1424,0.0907,2.0,4081.69,0,0,0,0.0841,0.9159,11640.97,0.611,0.018338,1
LN001683,23,17479.64,4.0,CLT,629,623,-6,Cartao,32437.83,27536.0,7230.51,4543.4,2687.11,0.6284,29,0.2933,0.6616,2.0,1757.29,0,0,0,0.066,0.934,6171.35,0.6058,0.113076,1
LN001684,61,73131.18,5.8,CLT,275,268,-7,Empresarial,100913.65,65163.95,4758.05,2444.03,2314.02,0.5137,46,0.2017,0.3742,2.0,6265.36,0,0,0,0.2875,0.7125,3631.18,0.513,0.0718,1
LN001685,39,40410.67,4.6,Servidor_Publico,825,613,-212,Veiculos,34360.66,11268.71,34360.66,11268.71,0.0,0.328,67,0.1105,0.1171,0.2781,40518.26,0,0,0,0.5041,0.4959,11268.71,0.6011,0.002337,2
LN001686,48,123007.15,4.9,CLT,559,647,88,Empresarial,168307.73,118010.16,21645.78,4908.08,16737.7,0.2267,33,0.2579,0.4029,1.0,29.15,1,60,0,0.2076,0.7924,14986.55,0.6021,0.075767,2
LN001687,43,79553.48,14.1,Servidor_Publico,539,614,75,Cartao,18905.68,9788.43,14402.15,9291.06,5111.09,0.6451,34,0.24,0.0517,2.0,890.11,0,0,0,0.0751,0.9249,12435.57,0.6152,0.007964,1
LN001688,42,115906.97,8.8,CNPJ,550,437,-113,Veiculos,65801.28,32564.12,65801.28,32564.12,0.0,0.4949,63,0.1206,0.118,0.3811,85457.27,0,0,0,0.6001,0.3999,32564.12,0.5362,0.006776,2
LN001689,68,28080.97,7.9,CLT,840,768,-72,Veiculos,41657.42,24499.28,41657.42,24499.28,0.0,0.5881,23,0.1675,0.3664,0.5226,46879.93,1,15,0,0.5795,0.4205,24499.28,0.5356,0.00355,1
LN001690,26,42556.96,12.4,CLT,644,730,86,Empresarial,89237.92,57486.68,4504.15,2335.12,2169.03,0.5184,41,0.137,0.5673,2.0,14768.93,1,15,0,0.3042,0.6958,3725.42,0.641,0.027093,2
LN001691,60,24158.75,12.9,Autonomo,452,486,34,Imobiliario,225251.95,101042.68,225251.95,101042.68,0.0,0.4486,297,0.076,1.7566,0.3108,325099.8,2,15,0,0.4877,0.5123,101042.68,0.5285,0.273858,2
LN001692,66,34256.3,7.4,CNPJ,623,637,14,Veiculos,25848.05,9740.3,25848.05,9740.3,0.0,0.3768,14,0.1537,0.1194,0.2849,34185.26,0,0,0,0.3648,0.6352,9740.3,0.6097,0.004259,1
LN001693,54,122255.52,19.0,Servidor_Publico,541,558,17,Imobiliario,309396.48,54450.18,309396.48,54450.18,0.0,0.176,299,0.0653,0.1871,0.1436,379175.5,4,15,0,0.6685,0.3315,54450.18,0.6381,0.02443,1
LN001694,41,142467.46,9.1,Servidor_Publico,696,709,13,Imobiliario,492186.66,272193.58,492186.66,272193.58,0.0,0.553,131,0.0778,0.8024,0.4188,649860.87,0,0,0,0.6908,0.3092,272193.58,0.6326,0.023923,1
LN001695,30,25686.31,14.9,CNPJ,599,504,-95,Imobiliario,464208.94,194805.75,464208.94,194805.75,0.0,0.4197,166,0.1293,2.0,0.3265,596690.09,0,0,0,0.7586,0.2414,194805.75,0.6622,0.081318,1
LN001696,56,40219.99,6.8,CLT,445,387,-58,Imobiliario,164294.79,142473.14,164294.79,142473.14,0.0,0.8672,237,0.1186,1.4878,0.7395,192668.37,0,0,1,0.6596,0.3404,142473.14,0.464,0.198248,3
LN001697,45,51558.52,12.1,CNPJ,639,698,59,Cartao,7574.2,4434.97,50624.75,18753.5,31871.25,0.3704,35,0.1625,0.0361,2.0,1257.83,0,0,0,0.0737,0.9263,37756.55,0.5962,0.008708,1
LN001698,29,79272.27,15.7,CLT,642,676,34,Imobiliario,259325.52,131387.14,259325.52,131387.14,0.0,0.5066,199,0.096,0.6961,0.349,376452.99,0,0,0,0.7706,0.2294,131387.14,0.707,0.030391,1
LN001699,39,17259.59,14.7,CNPJ,487,493,6,Cartao,6791.99,3615.69,15932.02,8286.84,7645.18,0.5201,25,0.3896,0.088,2.0,918.55,0,0,0,0.0903,0.9097,13027.41,0.6201,0.032987,1
LN001700,70,19111.58,13.9,CLT,395,331,-64,Empresarial,127208.39,116983.89,7130.62,1977.88,5152.74,0.2774,17,0.2464,2.0,2.0,3930.11,1,30,0,0.1807,0.8193,5063.95,0.5989,0.675681,2
LN001701,35,74477.85,6.6,Autonomo,686,745,59,Veiculos,22119.06,12582.28,22119.06,12582.28,0.0,0.5688,24,0.1641,0.071,0.4384,28700.83,0,0,0,0.4235,0.5765,12582.28,0.7371,0.003825,1
LN001702,30,15262.05,4.5,Servidor_Publico,613,525,-88,Cartao,14561.82,8434.58,23268.05,15970.71,7297.34,0.6864,44,0.2893,0.2321,2.0,967.93,0,0,0,0.133,0.867,20739.7,0.6535,0.013278,1
LN001703,56,40521.25,4.1,CLT,622,718,96,Pessoal,29264.35,13427.89,29264.35,13427.89,0.0,0.4588,15,0.2721,0.1392,2.0,4765.49,0,0,0,0.038,0.962,13427.89,0.5948,0.007559,1
LN001704,31,60195.91,7.7,Autonomo,746,676,-70,Veiculos,45579.9,30586.41,45579.9,30586.41,0.0,0.6711,29,0.1134,0.2134,0.6025,50768.27,0,0,0,0.5391,0.4609,30586.41,0.7327,0.005094,1
LN001705,67,70982.09,7.4,Servidor_Publico,397,316,-81,Imobiliario,764887.65,353549.3,764887.65,353549.3,0.0,0.4622,172,0.0717,2.0,0.3484,1014707.03,0,0,0,0.6606,0.3394,353549.3,0.6459,0.227611,1
LN001706,64,49408.77,13.1,Servidor_Publico,657,644,-13,Pessoal,15832.93,11080.17,15832.93,11080.17,0.0,0.6998,29,0.2331,0.0942,2.0,1726.95,0,0,0,0.0812,0.9188,11080.17,0.6887,0.003945,1
LN001707,71,42712.98,10.5,CLT,736,736,0,Imobiliario,362638.77,301844.67,362638.77,301844.67,0.0,0.8324,330,0.1045,2.0,0.6056,498451.06,0,0,0,0.6582,0.3418,301844.67,0.6874,0.035584,1
LN001708,67,93804.78,4.2,CNPJ,626,618,-8,Veiculos,28206.89,21387.6,28206.89,21387.6,0.0,0.7582,61,0.184,0.0958,0.5855,36527.54,0,0,0,0.5612,0.4388,21387.6,0.6136,0.006635,1
LN001709,34,65211.03,17.3,CNPJ,465,350,-115,Imobiliario,287400.75,193430.89,287400.75,193430.89,0.0,0.673,259,0.108,1.2458,0.5999,322432.57,3,15,0,0.811,0.189,193430.89,0.6497,0.405993,2
LN001710,32,35576.45,11.7,CLT,564,580,16,Pessoal,8938.87,6545.01,8938.87,6545.01,0.0,0.7322,39,0.1656,0.0773,1.0,30.73,0,0,0,0.2502,0.7498,6545.01,0.5871,0.007398,1
LN001711,39,55521.18,6.3,CNPJ,591,649,58,Imobiliario,199864.27,92471.52,199864.27,92471.52,0.0,0.4627,257,0.0643,0.6995,0.3037,304438.87,0,0,0,0.7539,0.2461,92471.52,0.5973,0.047566,1
LN001712,45,69498.46,7.0,CLT,444,422,-22,Cartao,11975.1,9583.34,8189.86,785.01,7404.86,0.0959,47,0.3011,0.0579,2.0,1136.66,0,0,1,0.074,0.926,5634.32,0.6549,0.028932,3
LN001713,65,165521.14,22.0,Autonomo,698,567,-131,Veiculos,23019.44,20676.27,23019.44,20676.27,0.0,0.8982,49,0.0812,0.0525,0.8195,25230.83,0,0,0,0.4998,0.5002,20676.27,0.7867,0.005865,2
LN001714,58,90319.66,4.6,Aposentado,650,619,-31,Pessoal,4854.71,4279.21,4854.71,4279.21,0.0,0.8815,27,0.2331,0.0199,2.0,143.87,0,0,0,0.1949,0.8051,4279.21,0.7145,0.010421,1
LN001715,54,119307.8,22.7,CLT,566,466,-100,Veiculos,21527.48,13938.67,21527.48,13938.67,0.0,0.6475,74,0.1485,0.0491,0.5519,25257.08,2,30,0,0.5462,0.4538,13938.67,0.637,0.033356,2
LN001716,65,36428.44,8.7,CLT,778,618,-160,Cartao,21063.85,18421.75,4966.2,924.6,4041.6,0.1862,27,0.2693,0.2124,2.0,1571.88,2,90,0,0.1037,0.8963,3271.17,0.5806,0.078094,2
LN001717,54,38533.42,9.0,CLT,582,525,-57,Cartao,5316.47,2476.83,60681.15,36888.62,23792.53,0.6079,10,0.2221,0.027,2.0,427.08,0,0,0,0.0379,0.9621,50991.77,0.5928,0.021389,1
LN001718,40,46490.49,12.4,Autonomo,842,948,106,Veiculos,33371.92,25126.25,33371.92,25126.25,0.0,0.7529,65,0.1274,0.227,0.6686,37579.09,0,0,0,0.338,0.662,25126.25,0.6612,0.000877,1
LN001719,42,49349.25,3.4,CLT,615,593,-22,Veiculos,26086.89,23489.27,26086.89,23489.27,0.0,0.9004,44,0.1502,0.1999,0.8211,28605.53,0,0,0,0.5342,0.4658,23489.27,0.5692,0.005601,1
LN001720,47,28135.4,11.7,Autonomo,525,489,-36,Pessoal,10737.46,4570.99,10737.46,4570.99,0.0,0.4257,23,0.2793,0.0682,2.0,630.8,0,0,0,0.0591,0.9409,4570.99,0.6198,0.026397,1
LN001721,26,123359.34,15.5,Autonomo,529,567,38,Empresarial,163043.38,37087.98,10442.04,3863.08,6578.95,0.37,18,0.2781,0.1263,2.0,14259.35,2,30,0,0.3932,0.6068,8515.7,0.7072,0.066192,2
LN001722,59,96199.42,7.6,CLT,661,691,30,Imobiliario,292866.36,199533.89,292866.36,199533.89,0.0,0.6813,315,0.0745,0.8712,0.6113,326400.13,4,30,0,0.6203,0.3797,199533.89,0.5152,0.209993,2
LN001723,54,44413.97,10.0,Servidor_Publico,510,385,-125,Pessoal,27374.71,19648.1,27374.71,19648.1,0.0,0.7177,14,0.2385,0.1858,2.0,458.73,0,0,0,0.1189,0.8811,19648.1,0.7081,0.025263,2
LN001724,58,82216.55,30.2,CNPJ,668,793,125,Imobiliario,402171.52,168040.57,402171.52,168040.57,0.0,0.4178,287,0.0837,0.8584,0.2832,593466.03,1,15,0,0.8257,0.1743,168040.57,0.7118,0.017608,2
LN001725,48,62622.78,16.5,CLT,597,596,-1,Empresarial,147992.81,73045.82,7920.71,4597.78,3322.93,0.5805,13,0.1263,0.4899,2.0,4445.72,0,0,0,0.2184,0.7816,7010.75,0.7262,0.022949,1
LN001726,61,86499.0,5.5,Autonomo,594,647,53,Cartao,14070.92,7626.14,16232.26,7134.63,9097.63,0.4395,32,0.1611,0.037,2.0,1657.91,0,0,0,0.1048,0.8952,13714.8,0.7233,0.017991,1
LN001727,69,22611.19,7.3,CNPJ,644,584,-60,Empresarial,126651.33,88935.07,5504.9,3696.58,1808.32,0.6715,25,0.2558,1.652,2.0,603.17,2,90,0,0.2358,0.7642,4920.44,0.6768,0.684064,2
LN001728,50,49282.3,8.5,CLT,780,618,-162,Imobiliario,252876.81,224127.16,252876.81,224127.16,0.0,0.8863,89,0.1271,1.9101,0.7065,317238.98,0,0,0,0.6662,0.3338,224127.16,0.6329,0.028389,2
LN001729,44,52170.63,17.1,Servidor_Publico,579,555,-24,Imobiliario,867481.35,523743.62,867481.35,523743.62,0.0,0.6038,284,0.0716,2.0,0.4973,1053277.92,0,0,0,0.8045,0.1955,523743.62,0.6244,0.021657,1
LN001730,27,81256.6,5.5,Servidor_Publico,673,575,-98,Veiculos,25534.62,14596.97,25534.62,14596.97,0.0,0.5717,14,0.1484,0.0754,0.4529,32233.11,0,0,0,0.3898,0.6102,14596.97,0.6281,0.004885,1
LN001731,60,36008.69,14.7,Servidor_Publico,707,779,72,Imobiliario,331328.86,208149.84,331328.86,208149.84,0.0,0.6282,227,0.0725,2.0,0.5648,368538.58,0,0,0,0.7429,0.2571,208149.84,0.7011,0.009684,1
LN001732,67,15000.0,14.8,CLT,492,370,-122,Imobiliario,78972.78,50043.86,78972.78,50043.86,0.0,0.6337,344,0.13,1.4012,0.4699,106501.55,1,120,0,0.7023,0.2977,50043.86,0.6333,0.674519,2
LN001733,56,26819.79,10.3,Servidor_Publico,717,703,-14,Imobiliario,369649.17,248929.09,369649.17,248929.09,0.0,0.6734,132,0.1,2.0,0.5461,455806.05,2,15,0,0.6521,0.3479,248929.09,0.7459,0.058618,2
LN001734,65,52068.68,17.5,CLT,755,784,29,Imobiliario,796505.28,491518.85,796505.28,491518.85,0.0,0.6171,227,0.0901,2.0,0.4525,1086229.05,1,30,0,0.6109,0.3891,491518.85,0.7297,0.027009,2
LN001735,65,56473.39,5.9,CNPJ,775,791,16,Imobiliario,194028.08,75485.41,194028.08,75485.41,0.0,0.389,176,0.0727,0.5614,0.301,250769.01,0,0,0,0.8056,0.1944,75485.41,0.5296,0.003292,1
LN001736,61,161851.78,19.5,CLT,505,452,-53,Veiculos,34037.72,14533.56,34037.72,14533.56,0.0,0.427,42,0.1436,0.0377,0.3756,38697.38,1,120,0,0.3902,0.6098,14533.56,0.6113,0.155786,2
LN001737,47,79125.08,2.8,CNPJ,514,365,-149,Veiculos,31988.03,10724.52,31988.03,10724.52,0.0,0.3353,15,0.1484,0.0569,0.2631,40756.71,0,0,0,0.4671,0.5329,10724.52,0.7094,0.032846,2
LN001738,26,57124.86,5.5,Autonomo,642,513,-129,Imobiliario,129605.34,122805.62,129605.34,122805.62,0.0,0.9475,120,0.0885,0.9029,0.638,192472.57,0,0,0,0.6925,0.3075,122805.62,0.5806,0.07927,2
LN001739,22,53047.64,2.9,CLT,635,563,-72,Pessoal,24330.96,20825.11,24330.96,20825.11,0.0,0.8559,37,0.1994,0.1649,2.0,2524.49,0,0,0,0.0724,0.9276,20825.11,0.6228,0.015933,1
LN001740,32,111048.15,6.1,CLT,652,531,-121,Pessoal,30593.72,10668.07,30593.72,10668.07,0.0,0.3487,43,0.3004,0.0403,1.0,99.02,3,15,0,0.1192,0.8808,10668.07,0.638,0.04866,2
LN001741,43,36917.03,14.9,Servidor_Publico,603,582,-21,Imobiliario,314158.86,274175.21,314158.86,274175.21,0.0,0.8727,206,0.1025,2.0,0.6196,442495.57,0,0,0,0.782,0.218,274175.21,0.6538,0.034101,1
LN001742,59,49454.86,12.7,CLT,674,601,-73,Imobiliario,254906.66,175020.89,254906.66,175020.89,0.0,0.6866,186,0.0963,1.4864,0.4699,372492.78,0,0,0,0.8426,0.1574,175020.89,0.5876,0.031414,1
LN001743,44,26688.34,11.6,CLT,317,205,-112,Empresarial,105272.75,42258.28,12782.11,8467.38,4314.73,0.6624,47,0.3283,0.665,2.0,16162.17,0,0,0,0.2118,0.7882,11393.23,0.6781,0.548928,2
LN001744,23,136255.75,6.0,CNPJ,735,613,-122,Imobiliario,387068.19,208294.93,387068.19,208294.93,0.0,0.5381,298,0.0933,0.6421,0.3868,538550.48,0,0,0,0.8255,0.1745,208294.93,0.7618,0.042793,2
LN001745,32,69921.21,9.9,CNPJ,841,706,-135,Empresarial,123432.04,74914.29,27287.5,11286.33,16001.17,0.4136,17,0.2407,0.45,2.0,17395.37,0,0,0,0.2663,0.7337,21928.71,0.6651,0.024727,2
LN001746,70,34204.41,19.6,CLT,578,558,-20,Imobiliario,410331.82,288794.15,410331.82,288794.15,0.0,0.7038,68,0.1243,2.0,0.6286,459403.34,0,0,0,0.7517,0.2483,288794.15,0.6054,0.051826,1
LN001747,71,50292.15,6.2,Servidor_Publico,676,605,-71,Imobiliario,324176.27,186275.94,324176.27,186275.94,0.0,0.5746,275,0.0755,1.5556,0.5163,360822.76,1,45,0,0.6678,0.3322,186275.94,0.5848,0.12816,2
LN001748,40,75453.59,6.4,CLT,868,854,-14,Cartao,9414.12,7305.04,4691.42,3150.34,1541.09,0.6715,35,0.3699,0.0407,2.0,171.81,0,0,0,0.0929,0.9071,4046.82,0.5817,0.002221,1
LN001749,62,46029.27,6.6,Autonomo,654,633,-21,Pessoal,12504.07,4982.56,12504.07,4982.56,0.0,0.3985,25,0.2346,0.0455,2.0,535.05,1,90,0,0.1745,0.8255,4982.56,0.687,0.137389,2
LN001750,57,38276.6,11.2,Servidor_Publico,689,658,-31,Cartao,12179.31,11627.48,14133.63,4918.84,9214.79,0.348,23,0.3759,0.1276,2.0,1649.07,1,15,0,0.1152,0.8848,9728.35,0.5219,0.012362,1
LN001751,68,35409.03,14.1,CLT,889,922,33,Pessoal,19344.89,14436.19,19344.89,14436.19,0.0,0.7463,30,0.1404,0.1712,2.0,343.0,0,0,0,0.116,0.884,14436.19,0.7334,0.004176,1
LN001752,66,67529.87,16.1,Servidor_Publico,914,788,-126,Empresarial,49290.37,24889.16,6297.89,1561.61,4736.29,0.248,21,0.3034,0.1548,2.0,844.89,2,60,0,0.2694,0.7306,4608.85,0.6434,0.013271,2
LN001753,53,42927.36,8.5,Servidor_Publico,512,545,33,Imobiliario,123954.24,100032.35,123954.24,100032.35,0.0,0.807,233,0.0808,0.9787,0.6192,161543.38,1,15,0,0.812,0.188,100032.35,0.6131,0.090562,2
LN001754,41,40338.33,8.0,Aposentado,596,610,14,Imobiliario,403046.13,369020.96,403046.13,369020.96,0.0,0.9156,239,0.0627,2.0,0.7188,513350.18,0,0,0,0.6761,0.3239,369020.96,0.6849,0.03433,1
LN001755,53,22732.7,7.1,Servidor_Publico,766,736,-30,Imobiliario,173403.89,121824.78,173403.89,121824.78,0.0,0.7025,83,0.1241,2.0,0.5183,235061.44,0,0,0,0.7423,0.2577,121824.78,0.5806,0.016244,1
LN001756,37,56980.61,13.6,CLT,714,638,-76,Pessoal,17703.36,13103.14,17703.36,13103.14,0.0,0.7401,30,0.2785,0.0966,2.0,2086.83,0,0,0,0.101,0.899,13103.14,0.6209,0.017966,1
LN001757,39,48156.18,3.5,CNPJ,741,728,-13,Imobiliario,176497.55,126550.68,176497.55,126550.68,0.0,0.717,170,0.1288,1.1037,0.5032,251490.26,0,0,1,0.6874,0.3126,126550.68,0.6339,0.034411,3
LN001758,52,43955.3,9.2,Servidor_Publico,309,327,18,Cartao,17435.65,13363.93,15388.2,4088.43,11299.77,0.2657,11,0.1874,0.1277,2.0,757.46,0,0,0,0.0509,0.9491,11173.68,0.627,0.032672,1
LN001759,50,61648.3,9.2,Servidor_Publico,395,274,-121,Imobiliario,199042.39,88035.7,199042.39,88035.7,0.0,0.4423,183,0.0604,0.5998,0.3709,237326.26,3,30,0,0.7078,0.2922,88035.7,0.5855,0.302688,2
LN001760,51,88097.68,14.9,CNPJ,881,911,30,Imobiliario,594246.07,385786.69,594246.07,385786.69,0.0,0.6492,279,0.1116,1.8392,0.4726,816277.52,1,45,0,0.6475,0.3525,385786.69,0.6291,0.022637,2
LN001761,41,85478.28,4.2,Autonomo,750,865,115,Imobiliario,435414.44,260499.29,435414.44,260499.29,0.0,0.5983,351,0.1204,1.28,0.4899,531702.09,0,0,0,0.6452,0.3548,260499.29,0.604,0.016758,1
LN001762,42,77596.18,15.5,CLT,695,675,-20,Empresarial,22904.94,22053.87,15780.14,6171.37,9608.78,0.3911,34,0.2461,0.1194,1.0,80.75,0,0,0,0.3906,0.6094,11926.12,0.5989,0.003591,1
LN001763,22,46330.9,13.1,Aposentado,488,570,82,Pessoal,8937.59,7494.53,8937.59,7494.53,0.0,0.8385,21,0.1345,0.0679,2.0,1546.23,3,30,0,0.1776,0.8224,7494.53,0.6944,0.071265,2
LN001764,52,37475.82,26.4,CLT,596,616,20,Imobiliario,185878.35,108847.1,185878.35,108847.1,0.0,0.5856,205,0.0908,1.2199,0.4327,251535.21,0,0,0,0.7182,0.2818,108847.1,0.6135,0.023787,1
LN001765,50,27486.63,23.6,CLT,724,728,4,Pessoal,5861.49,4053.84,5861.49,4053.84,0.0,0.6916,40,0.2384,0.0619,2.0,933.31,0,0,0,0.1772,0.8228,4053.84,0.8075,0.005469,1
LN001766,68,36844.01,18.8,CLT,470,402,-68,Veiculos,28047.75,23890.52,28047.75,23890.52,0.0,0.8518,39,0.1723,0.2723,0.678,35234.92,1,30,0,0.4839,0.5161,23890.52,0.7276,0.037552,2
LN001767,47,54872.77,2.3,Aposentado,558,517,-41,Empresarial,88082.07,44035.82,10281.75,894.37,9387.38,0.087,46,0.1241,0.3371,2.0,3364.61,0,0,0,0.1577,0.8423,5945.13,0.538,0.031642,1
LN001768,45,32497.36,4.5,Autonomo,698,609,-89,Imobiliario,153502.76,109003.48,153502.76,109003.48,0.0,0.7101,207,0.0877,1.4088,0.4901,222415.67,1,30,0,0.6916,0.3084,109003.48,0.5124,0.220424,2
LN001769,25,57666.81,17.5,CLT,726,781,55,Imobiliario,467417.47,251372.59,467417.47,251372.59,0.0,0.5378,73,0.1063,1.8308,0.364,690529.66,0,0,0,0.7661,0.2339,251372.59,0.7104,0.011446,1
LN001770,31,28924.76,9.1,Autonomo,582,511,-71,Imobiliario,556985.25,473490.03,556985.25,473490.03,0.0,0.8501,315,0.1226,2.0,0.5849,809573.62,0,0,0,0.8206,0.1794,473490.03,0.6862,0.093538,1
LN001771,38,18404.59,23.6,CLT,777,894,117,Empresarial,77046.81,73682.95,12484.72,7947.09,4537.62,0.6365,23,0.167,1.6815,2.0,8468.3,0,0,0,0.1537,0.8463,10936.09,0.6587,0.009984,1
LN001772,40,92282.89,10.5,CLT,773,790,17,Empresarial,169779.32,105938.82,4099.2,2772.87,1326.33,0.6764,10,0.2779,0.4822,2.0,10959.55,1,45,0,0.1619,0.8381,3583.38,0.6111,0.054454,2
LN001773,40,39800.33,14.6,CLT,416,430,14,Imobiliario,194398.67,89907.29,194398.67,89907.29,0.0,0.4625,299,0.1282,0.9488,0.3196,281313.71,2,15,0,0.7385,0.2615,89907.29,0.6714,0.263106,2
LN001774,41,31442.89,14.0,CLT,862,747,-115,Veiculos,40980.16,19002.02,40980.16,19002.02,0.0,0.4637,36,0.1037,0.2538,0.4102,46327.82,2,120,0,0.7271,0.2729,19002.02,0.7475,0.049766,2
LN001775,60,26608.86,10.3,CNPJ,801,835,34,Pessoal,6422.39,4448.21,6422.39,4448.21,0.0,0.6926,38,0.1278,0.0702,1.0,51.28,1,60,0,0.2047,0.7953,4448.21,0.6949,0.004812,2
LN001776,28,71322.95,17.7,CLT,676,644,-32,Imobiliario,358990.68,150704.3,358990.68,150704.3,0.0,0.4198,214,0.09,0.8875,0.3089,487893.48,1,30,0,0.7465,0.2535,150704.3,0.64,0.056225,2
LN001777,38,132414.18,15.2,CLT,632,574,-58,Imobiliario,475992.54,440928.19,475992.54,440928.19,0.0,0.9263,153,0.0757,1.3986,0.7695,573027.15,0,0,0,0.6057,0.3943,440928.19,0.6087,0.031913,1
LN001778,30,41689.39,4.8,CLT,752,687,-65,Imobiliario,440889.57,242089.84,440889.57,242089.84,0.0,0.5491,169,0.1084,2.0,0.3701,654105.13,0,0,0,0.7517,0.2483,242089.84,0.5351,0.025211,1
LN001779,37,47093.2,31.4,CLT,719,610,-109,Pessoal,13683.96,10521.66,13683.96,10521.66,0.0,0.7689,45,0.2479,0.0938,2.0,2583.4,0,0,0,0.0584,0.9416,10521.66,0.6173,0.011691,2
LN001780,56,108723.22,4.5,CNPJ,614,599,-15,Empresarial,144888.27,101263.6,6808.37,5267.36,1541.02,0.7737,10,0.1525,0.3912,2.0,23176.94,2,30,0,0.2074,0.7926,6403.12,0.737,0.067618,2
LN001781,24,16700.77,6.4,CNPJ,858,830,-28,Imobiliario,228760.86,207495.39,228760.86,207495.39,0.0,0.907,293,0.1032,2.0,0.6792,305520.52,0,0,0,0.6898,0.3102,207495.39,0.5986,0.006982,1
LN001782,38,194553.92,14.4,CLT,376,262,-114,Imobiliario,1269995.33,589124.91,1269995.33,589124.91,0.0,0.4639,213,0.1105,1.2718,0.3989,1476818.66,3,45,0,0.7619,0.2381,589124.91,0.7,0.697652,2
LN001783,23,265312.91,12.9,CLT,563,586,23,Veiculos,56404.49,51385.09,56404.49,51385.09,0.0,0.911,30,0.1049,0.0813,0.851,60385.08,0,0,0,0.5412,0.4588,51385.09,0.6188,0.008483,1
LN001784,69,15000.0,16.0,Servidor_Publico,708,852,144,Veiculos,41234.55,17986.36,41234.55,17986.36,0.0,0.4362,53,0.1097,0.5036,0.411,43766.68,0,0,0,0.4678,0.5322,17986.36,0.6917,0.000964,1
LN001785,58,50849.36,8.9,Servidor_Publico,643,521,-122,Imobiliario,232454.24,149178.0,232454.24,149178.0,0.0,0.6418,243,0.0835,1.2322,0.577,258556.68,0,0,0,0.749,0.251,149178.0,0.5803,0.076491,2
LN001786,34,33951.37,13.5,CNPJ,740,716,-24,Imobiliario,203213.02,199261.96,203213.02,199261.96,0.0,0.9806,274,0.0738,2.0,0.7629,261204.98,1,15,0,0.6993,0.3007,199261.96,0.6994,0.042566,2
LN001787,31,45610.73,6.7,CNPJ,468,577,109,Imobiliario,855693.96,642776.81,855693.96,642776.81,0.0,0.7512,105,0.1097,2.0,0.5814,1105641.01,0,0,0,0.8692,0.1308,642776.81,0.7437,0.059819,1
LN001788,26,41276.55,10.5,Aposentado,616,542,-74,Imobiliario,186060.48,136777.62,186060.48,136777.62,0.0,0.7351,107,0.1026,1.3917,0.5226,261730.65,0,0,0,0.6998,0.3002,136777.62,0.6764,0.07745,1
LN001789,45,91825.33,22.0,Servidor_Publico,799,816,17,Cartao,10175.37,6414.61,8668.26,4645.41,4022.86,0.5359,27,0.348,0.0293,2.0,1224.36,3,45,0,0.0924,0.9076,6777.37,0.53,0.021714,2
LN001790,59,50353.81,4.5,CLT,455,469,14,Veiculos,13423.51,5653.93,13423.51,5653.93,0.0,0.4212,56,0.1175,0.0472,0.3223,17544.89,1,120,0,0.6675,0.3325,5653.93,0.6354,0.164654,2
LN001791,51,29968.75,18.3,Autonomo,618,652,34,Empresarial,139809.72,33242.76,25214.17,17099.7,8114.47,0.6782,14,0.3437,0.4659,2.0,1731.75,0,0,0,0.3044,0.6956,22664.99,0.6858,0.022551,1
LN001792,66,48439.92,9.3,CNPJ,580,702,122,Cartao,23383.99,3841.07,28547.77,6717.27,21830.51,0.2353,18,0.3522,0.0333,0.8678,4426.15,0,0,0,0.0713,0.9287,21946.48,0.6976,0.003162,1
